sep=;;;;;;;
Product Class;'04;;;;;;
Variant Sift;';;;;;;
Document;22644816;;;;;;
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
8;CALINKID;22392545;;;EAX-E7X;1;
8;CALINKID;22392545;;;EAX-TKX;1;
8;CALINKID;22392545;;;EAX-TMX;1;
8;CALINKID;22392545;;;EAX-TNX;1;
8;CALINKID;22392545;;;EAX-TPX;1;
8;CALINKID;22392545;;;EAX-TSX;1;
8;CALINKID;22392545;;;EAX-TTX;1;
8;CALINKID;22392545;;;EAX-TUX;1;
8;CALINKID;22392545;;;EAX-TVX;1;
8;CALINKID;22558336;;;N7X-C9X;1;
9;CALINKID;22392545;;;EAX-ASX;1;
9;CALINKID;22392545;;;EAX-BOX;1;
9;CALINKID;22392545;;;EAX-BWX;1;
9;CALINKID;22392545;;;EAX-B3X;1;
9;CALINKID;22392545;;;EAX-B4X;1;
9;CALINKID;22392545;;;EAX-CFX;1;
9;CALINKID;22392545;;;EAX-CGX;1;
9;CALINKID;22392545;;;EAX-CSX;1;
9;CALINKID;22392545;;;EAX-CTX;1;
9;CALINKID;22392545;;;EAX-CZX;1;
9;CALINKID;22392545;;;EAX-C2X;1;
9;CALINKID;22392545;;;EAX-E5X;1;
9;CALINKID;22392545;;;EAX-E6X;1;
9;CALINKID;22392545;;;EAX-E7X;1;
9;CALINKID;22392545;;;EAX-TKX;1;
9;CALINKID;22392545;;;EAX-TNX;1;
9;CALINKID;23162822;;;EAX-TPX;1;momentary
9;CALINKID;22392545;;;EAX-TSX;1;
9;CALINKID;22392545;;;EAX-TTX;1;
9;CALINKID;22392545;;;EAX-TUX;1;
9;CALINKID;22392545;;;EAX-TVX;1;
9;CALINKID;22626618;;;4LA-D7X;1;
10;CALINKID;22392545;;;EAX-BWX;1;
10;CALINKID;22392545;;;EAX-B3X;1;
10;CALINKID;22392545;;;EAX-CTX;1;
10;CALINKID;22392545;;;EAX-E5X;1;
10;CALINKID;22392545;;;EAX-E7X;1;
10;CALINKID;22392545;;;EAX-TKX;1;
10;CALINKID;22392545;;;EAX-TTX;1;
10;CALINKID;22626618;;;4LA-D8X;1;
10;CALINKID;22392998;;;WTX-E3X;1;
11;CALINKID;23984438;;;TUX-A4X;1;
11;CALINKID;23942919;;;TUX-ABX,6*4;1;
11;CALINKID;23942919;;;TUX-ABX,8*4;1;
11;CALINKID;23942919;;;TUX-ABX,8*6;1;
11;CALINKID;23942919;;;TUX-ABX,10*4;1;
11;CALINKID;22392588;;;TUX-G7X;1;Inter-wheel
11;CALINKID;22392545;;;EAX-TVX;1;
12;CALINKID;22720979;;;TUX-ABX,DTECH-CO,4*2;1;
12;CALINKID;22720979;;;TUX-ABX,DTECH-CO,6*2;1;
12;CALINKID;22720979;;;TUX-ABX,DTECH-CO,8*2;1;
12;CALINKID;23942920;;;TUX-ABX,DTECH-CO,6*4;1;
12;CALINKID;23942920;;;TUX-ABX,DTECH-CO,8*4;1;
12;CALINKID;23942920;;;TUX-ABX,DTECH-CO,8*6;1;
12;CALINKID;23942920;;;TUX-ABX,DTECH-CO,10*4;1;
12;CALINKID;22392588;;;TUX-G7X,DTECH-CO;1;Inter-wheel
12;CALINKID;22392545;;;EAX-TUX;1;
13;CALINKID;22392545;;;EAX-E4X;1;
13;CALINKID;22392435;;;TUX-G7X,SUSPL-EC,UTRACONT;1;Inter-axle
13;CALINKID;22392435;;;TUX-G7X,SUSPL-E7,UTRACONT;1;Inter-axle
14;CALINKID;22392545;;;EAX-E4X;1;
14;CALINKID;22558336;;;N7X-GCX;1;
15;CALINKID;22392577;;;3IA-A5X;1;
15;CALINKID;22558336;;;N7X-GBX;1;
15;CALINKID;24167361;;;PTOENG-F,V9D-P1X;1;
15;CALINKID;24167359;;;PTOTRA-S,V9D-P1X;1;
15;CALINKID;24167359;;;PTRD-D,PTOTRA-D,V9D-P1X;1;
15;CALINKID;24167356;;;V9D-P1X,HPE-F41;1;
15;CALINKID;24167356;;;V9D-P1X,HPE-F61;1;
15;CALINKID;24167356;;;V9D-P1X,HPE-F81;1;
15;CALINKID;24167356;;;V9D-P1X,HPE-F101;1;
15;CALINKID;22392545;;;EAX-CVX;1;
15;CALINKID;22392545;;;EAX-E4X;1;
16;CALINKID;22392588;;;TUX-ABX,DTECH-EL,6*2;1;Inter-wheel
16;CALINKID;22392588;;;TUX-ABX,DTECH-EL,6*4;1;Inter-wheel
16;CALINKID;22392435;;;TUX-G7X,USUSPLEV;1;Inter-axle
16;CALINKID;22542599;;;J9E-E1X,VPA-1T;1;6X4, 1 SW, TAG
16;CALINKID;22542600;;;J9E-E1X,VPA-1P;1;6X4, 1 SW, PUSH
16;CALINKID;22542600;;;J9E-E1X,UVPA;1;
16;CALINKID;22542600;;;J9E-E2X,RAA22;1;6X4, 2 SW
16;CALINKID;22542600;;;J9E-E3X,RAA22;1;6X4, 3 SW
16;CALINKID;22542600;;;RAA32P,J9E-E1X;1;8X4, 1 SW, PUSH
16;CALINKID;22542599;;;RAA32T,J9E-E1X;1;8X4, 1 SW, TAG
16;CALINKID;22542600;;;8*4,J9E-E2X;1;8X4, 2 SW
16;CALINKID;22542600;;;RAA32P,J9E-E3X;1;8X4, 3 SW
16;CALINKID;22542600;;;RAA32P,J9E-E4X;1;8X4, 4 SW
16;CALINKID;22542600;;;RAA422P,J9E-E2X;1;10X4, 2 SW
16;CALINKID;22542600;;;RAA422P,J9E-E3X;1;10X4, 3 SW
16;CALINKID;22542600;;;RAA422P,J9E-E4X;1;10X4, 4 SW
16;CALINKID;22392379;;;G1D-A1X;1;
16;CALINKID;22558336;;;N7X-GAX;1;
16;CALINKID;22392545;;;EAX-BWX;1;
16;CALINKID;22392545;;;EAX-CVX;1;
16;CALINKID;22392545;;;EAX-CWX;1;
16;CALINKID;22392545;;;EAX-CZX;1;
16;CALINKID;22392545;;;EAX-E6X;1;
16;CALINKID;22392545;;;EAX-THX;1;
16;CALINKID;22392545;;;EAX-TRX;1;
16;CALINKID;22392545;;;EAX-TSX;1;
16;CALINKID;22392545;;;EAX-TUX;1;
16;CALINKID;22392545;;;WTX-E2X;1;
17;CALINKID;22392435;;;TUX-G7X,SUSPL-M;1;Inter-axle
17;CALINKID;22542600;;;RAA22,J9E-E2X,VPA-2P;1;6X4, 2 SW
17;CALINKID;22542566;;;RAA22,J9E-E2X,VPA-2PT;1;6X4, 2 SW
17;CALINKID;22542600;;;RAA22,J9E-E2X,UVPA;1;
17;CALINKID;22542600;;;RAA22,J9E-E3X;1;6X4, 3 SW
17;CALINKID;22542600;;;RAA32P,J9E-E2X,VPA-1P;1;8X4, 2 SW
17;CALINKID;22542599;;;RAA32P,J9E-E2X,VPA-1T;1;8X4, 2 SW
17;CALINKID;22542600;;;RAA32P,J9E-E2X,UVPA;1;
17;CALINKID;22542599;;;RAA32T,J9E-E2X,VPA-1P;1;8X4, 2 SW
17;CALINKID;22542599;;;RAA32T,J9E-E2X,UVPA;1;
17;CALINKID;22542600;;;RAA32P,J9E-E3X;1;8X4, 3 SW
17;CALINKID;22542600;;;RAA32P,J9E-E4X;1;8X4, 4 SW
17;CALINKID;22542600;;;RAA422P,J9E-E2X;1;10X4, 2 SW
17;CALINKID;22542600;;;RAA422P,J9E-E3X;1;10X4, 3 SW
17;CALINKID;22542600;;;RAA422P,J9E-E4X;1;10X4, 4 SW
17;CALINKID;22392379;;;G1D-A3X;1;
17;CALINKID;22392545;;;EAX-CVX;1;
17;CALINKID;22392545;;;EAX-CWX;1;
17;CALINKID;22392545;;;EAX-E5X;1;
17;CALINKID;22392545;;;EAX-THX;1;
17;CALINKID;22392545;;;EAX-TRX;1;
17;CALINKID;22392545;;;EAX-TSX;1;
17;CALINKID;22558336;;;N7X-CAX;1;
17;CALINKID;22558336;;;N7X-CCX;1;
17;CALINKID;22392998;;;WTX-E4X;1;
18;CALINKID;22392379;;;G1D-A1X;-1;
18;CALINKID;22392379;;;G1D-A3X;-1;
18;CALINKID;22392552;;;B4C-C5X;1;
18;CALINKID;22392545;;;EAX-E5X;1;
18;CALINKID;22392545;;;EAX-THX;1;
18;CALINKID;22392545;;;EAX-TRX;1;
18;CALINKID;22542600;;;RAA22,J9E-E3X,VPA-3P;1;
18;CALINKID;22542599;;;RAA22,J9E-E3X,VPA-32PT;1;
18;CALINKID;22542600;;;RAA32P,J9E-E3X,VPA-2P;1;
18;CALINKID;22542599;;;RAA32P,J9E-E3X,VPA-2PT;1;
18;CALINKID;22542600;;;RAA32P,J9E-E4X;1;
18;CALINKID;22542600;;;RAA422P,J9E-E3X,VPA-1P;1;
18;CALINKID;22542599;;;RAA422P,J9E-E3X,VPA-1T;1;
18;CALINKID;22542600;;;RAA422P,J9E-E4X;1;
19;CALINKID;22392545;;;EAX-BWX;1;
19;CALINKID;22392545;;;EAX-CVX;1;
19;CALINKID;22392545;;;EAX-E5X;1;
19;CALINKID;22392545;;;EAX-E6X;1;
19;CALINKID;22392545;;;EAX-THX;1;
19;CALINKID;22392974;;;NJX-A5X;1;
19;CALINKID;22392550;;;B4C-C5X;1;
19;CALINKID;22392552;;;B4C-C5X;-1;
19;CALINKID;22542600;;;RAA32P,J9E-E4X;1;8X4, 4 SW
19;CALINKID;22542600;;;RAA422P,J9E-E4X,VPA-2P;1;10X4, 4 SW
19;CALINKID;22542599;;;RAA422P,J9E-E4X,VPA-2PT;1;10X4, 4 SW
19;CALINKID;22542600;;;RAA422P,J9E-E4X,UVPA;1;
20;CALINKID;22392550;;;B4C-C5X;-1;
20;CALINKID;22392545;;;EAX-BWX;1;
20;CALINKID;22392545;;;EAX-CVX;1;
20;CALINKID;22392545;;;EAX-E5X;1;
20;CALINKID;22392545;;;EAX-THX;1;
20;CALINKID;22392545;;;EAX-TTX;1;
20;CALINKID;22558336;;;N7X-CBX;1;
20;CALINKID;22558336;;;N7X-C6X;1;
20;CALINKID;22558336;;;N7X-C7X;1;
20;CALINKID;22558336;;;N7X-GEX;1;
20;CALINKID;22558331;;;JWX-G3X;1;
20;CALINKID;24167361;;;PTOENG-F,V9D-H1X;1;
20;CALINKID;24167359;;;PTOTRA-S,V9D-H1X;1;
20;CALINKID;24167359;;;PTRD-D,PTOTRA-D,V9D-H1X;1;
20;CALINKID;24167356;;;V9D-H1X,HPE-F41;1;
20;CALINKID;24167356;;;V9D-H1X,HPE-F61;1;
20;CALINKID;24167356;;;V9D-H1X,HPE-F81;1;
20;CALINKID;24167356;;;V9D-H1X,HPE-F101;1;
21;CALINKID;22392974;;;NJX-A5X;-1;
21;CALINKID;22392974;;;NJX-A6X;-1;
21;CALINKID;22392974;;;NJX-A7X;-1;
22;CALINKID;22392545;;;EAX-TJX;1;
22;CALINKID;22558336;;;N7X-C3X;1;
22;CALINKID;22558336;;;N7X-C5X;1;
23;CALINKID;22542599;;;J9E-A1X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-B1X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-B2X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-C2X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-D1X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-D2X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-D5X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-E1X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-E2X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-E3X,RAA32T;-1;
23;CALINKID;22542599;;;J9E-E4X,RAA32T;-1;
23;CALINKID;22542600;;;J9E-A1X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-B1X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-B2X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-C2X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-D1X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-D2X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-D5X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-E1X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-E2X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-E3X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-E4X,RAA32P;-1;
23;CALINKID;22542600;;;J9E-B1X,VPA-1P;1;6X4
23;CALINKID;22542599;;;J9E-B1X,VPA-1T;1;6X4
23;CALINKID;22542600;;;J9E-B1X,UVPA;1;
23;CALINKID;22542600;;;RAA22,J9E-A1X;1;6X4
23;CALINKID;22542600;;;RAA22,J9E-B2X;1;6X4
23;CALINKID;22542600;;;RAA22,J9E-C2X;1;6X4
23;CALINKID;22542600;;;RAA32P,J9E-B1X;1;8X4
23;CALINKID;22542599;;;RAA32T,J9E-B1X;1;8X4
23;CALINKID;22542600;;;8*4,J9E-A1X;1;8X4
23;CALINKID;22542600;;;8*4,J9E-B2X;1;8X4
23;CALINKID;22542600;;;RAA32P,J9E-C2X;1;8X4
23;CALINKID;22542600;;;RAA32P,J9E-D1X;1;8X4
23;CALINKID;22542600;;;RAA32P,J9E-D2X;1;8X4
23;CALINKID;22542600;;;RAA422P,J9E-A1X;1;10X4
23;CALINKID;22542600;;;RAA422P,J9E-B2X;1;10X4
23;CALINKID;22542600;;;RAA422P,J9E-C2X;1;10X4
23;CALINKID;22542600;;;RAA422P,J9E-D1X;1;10X4
23;CALINKID;22542600;;;RAA422P,J9E-D2X;1;10X4
23;CALINKID;22392545;;;EAX-TJX;1;
23;CALINKID;22392974;;;NJX-A6X;1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-S,V9D-C1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-S,V9D-C1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-S,V9D-D1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-S,V9D-D1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-S,V9D-H1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-S,V9D-H1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-S,V9D-P1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-S,V9D-P1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-D,V9D-C1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-D,V9D-C1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-D,V9D-D1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-D,V9D-D1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-D,V9D-H1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-D,V9D-H1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-D,V9D-P1X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-D,V9D-P1X;-1;
24;CALINKID;24167359;;;ADASWP6,PTOTRA-D,V9D-C2X;-1;
24;CALINKID;24167359;;;ADASWP10,PTOTRA-D,V9D-C2X;-1;
24;CALINKID;22542600;;;RAA22,J9E-B2X,VPA-2P;1;6X4
24;CALINKID;22542599;;;RAA22,J9E-B2X,VPA-2PT;1;6X4
24;CALINKID;22542600;;;RAA22,J9E-B2X,UVPA;1;
24;CALINKID;22542600;;;RAA32P,J9E-B2X,VPA-1P;1;8X4
24;CALINKID;22542599;;;RAA32P,J9E-B2X,VPA-1T;1;8X4
24;CALINKID;22542600;;;RAA32P,J9E-B2X,UVPA;1;
24;CALINKID;22542599;;;RAA32T,J9E-B2X;1;8X4
24;CALINKID;22542600;;;RAA422P,J9E-B2X;1;10X4
24;CALINKID;22392545;;;EAX-TJX;1;
25;CALINKID;24167360;;;PTRD-D1,ADASWP6,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D1,ADASWP10,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D2,ADASWP6,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D2,ADASWP10,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D3,ADASWP6,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D3,ADASWP10,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D4,ADASWP6,V9D-C2X;-1;
25;CALINKID;24167360;;;PTRD-D4,ADASWP10,V9D-C2X;-1;
25;CALINKID;24167360;;;T4X-C8X,ADASWP6;1;
25;CALINKID;24167360;;;T4X-C8X,ADASWP10;1;
25;CALINKID;22542600;;;RAA22,J9E-C2X;1;6X4
25;CALINKID;22542600;;;RAA32P,J9E-C2X;1;8X4
25;CALINKID;22542600;;;RAA422P,J9E-C2X;1;10X4
25;CALINKID;22392545;;;EAX-TJX;1;
26;CALINKID;22542600;;;RAA32P,J9E-D1X;1;8X4
26;CALINKID;22542600;;;RAA422P,J9E-D1X;1;10X4
26;CALINKID;22558331;;;JWX-J1X;1;
27;CALINKID;24167361;;;PTOENG-F,V9D-C1X;-1;
27;CALINKID;24167361;;;PTOENG-F,V9D-D1X;-1;
27;CALINKID;24167361;;;PTOENG-F,V9D-H1X;-1;
27;CALINKID;24167361;;;PTOENG-F,V9D-P1X;-1;
27;CALINKID;22542600;;;RAA32P,J9E-D1X;1;8X4
27;CALINKID;22542600;;;RAA422P,J9E-D1X;1;10X4
28;CALINKID;24167356;;;HPE-F61,ADASWP6,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP10,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP6,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP10,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP6,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP10,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP6,V9D-P1X;-1;
28;CALINKID;24167356;;;HPE-F61,ADASWP10,V9D-P1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP6,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP10,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP6,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP10,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP6,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP10,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP6,V9D-P1X;-1;
28;CALINKID;24167356;;;HPE-F81,ADASWP10,V9D-P1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP6,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP10,V9D-C1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP6,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP10,V9D-D1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP6,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP10,V9D-H1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP6,V9D-P1X;-1;
28;CALINKID;24167356;;;HPE-F101,ADASWP10,V9D-P1X;-1;
28;CALINKID;22558336;;;N7X-G5X;1;
28;CALINKID;22542600;;;RAA22,J9E-A1X,VPA-1P;1;6X4
28;CALINKID;22542599;;;RAA22,J9E-A1X,VPA-1T;1;6X4
28;CALINKID;22542600;;;RAA22,J9E-A1X,UVPA;1;
28;CALINKID;22542600;;;RAA22,J9E-D5X;1;6X4
28;CALINKID;22542600;;;RAA32P,J9E-A1X,VPA-1P;1;8X4
28;CALINKID;22542599;;;RAA32P,J9E-A1X,VPA-1T;1;8X4
28;CALINKID;22542600;;;RAA32P,J9E-A1X,UVPA;1;
28;CALINKID;22542599;;;RAA32T,J9E-A1X;1;8X4
28;CALINKID;22542600;;;RAA32P,J9E-D5X;1;8X4
28;CALINKID;22542600;;;RAA32P,J9E-D1X;1;8X4
28;CALINKID;22542600;;;RAA32P,J9E-D2X;1;8X4
28;CALINKID;22542600;;;RAA422P,J9E-A1X;1;10X4
28;CALINKID;22542600;;;RAA422P,J9E-D5X;1;10X4
28;CALINKID;22542600;;;RAA422P,J9E-D1X,VPA-2P;1;10X4
28;CALINKID;22542599;;;RAA422P,J9E-D1X,VPA-2PT;1;10X4
28;CALINKID;22542600;;;RAA422P,J9E-D1X,UVPA;1;
28;CALINKID;22542600;;;RAA422P,J9E-D2X;1;10X4
28;CALINKID;22392545;;;EAX-TJX;1;
28;CALINKID;22392974;;;NJX-A7X;1;
29;CALINKID;22558331;;;JWX-G1X;1;
29;CALINKID;22542600;;;RAA22,J9E-D5X;1;6X4
29;CALINKID;22542600;;;RAA32P,J9E-D5X;1;8X4
29;CALINKID;22542600;;;RAA32P,J9E-D2X;1;8X4
29;CALINKID;22542600;;;RAA422P,J9E-D5X;1;10X4
29;CALINKID;22542600;;;RAA422P,J9E-D2X;1;10X4
29;CALINKID;22392545;;;EAX-TJX;1;
30;CALINKID;22542600;;;RAA22,J9E-C2X,VPA-3P;1;6X4
30;CALINKID;22542599;;;RAA22,J9E-C2X,VPA-32PT;1;6X4
30;CALINKID;22542600;;;RAA22,J9E-C2X,UVPA;1;
30;CALINKID;22542600;;;RAA22,J9E-D5X,VPA-3P;1;6X4
30;CALINKID;22542599;;;RAA22,J9E-D5X,VPA-32PT;1;6X4
30;CALINKID;22542600;;;RAA22,J9E-D5X,UVPA;1;
