sep=;
Product Class;'04
Variant Sift;'
Document;22644816
Position;LinkID;Partno;Name,Demarcation;Function Group;Variants;Quantity;KOLA Direction
4;3914924;24167356;SWITCH, PTO, ENGINE SIDE;364 ;ENG-VE13,HPE-F61,ADASWP2;00001;&nbsp;
4;3915069;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D4,ADASWP2;00001;&nbsp;
4;3914927;24167356;SWITCH, PTO, ENGINE SIDE;364 ;ENG-VE13,HPE-F81,ADASWP2;00001;&nbsp;
4;3914930;24167356;SWITCH, PTO, ENGINE SIDE;364 ;ENG-VE11,HPE-F61,ADASWP2;00001;&nbsp;
4;3915075;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D4,UADASWPA;00001;&nbsp;
4;3822015;22997159;PLUG BLANK, SWITCH;364 ;PTRD-F,UADASWPA;00001;&nbsp;
5;3751905;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;INT-GEN2,L3H1;00001;&nbsp;
5;3876883;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;L4H4;00001;&nbsp;
5;3402165;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;INT-GEN2,L4H2;00001;&nbsp;
5;3402168;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;INT-GEN2,L5H4;00001;&nbsp;
5;3553223;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;INT-GEN2,L4EH4;00001;&nbsp;
5;3553230;22392471;SWITCH, SLEEPER HVAC MODE SELECT;364 ;INT-GEN2,L4EH2;00001;&nbsp;
5;3724021;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L1H1;00001;&nbsp;
5;3724022;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L1H1-BDE;00001;&nbsp;
6;3876884;22392444;SWITCH, OVERHEAD LAMP;364 ;L4H4;00001;&nbsp;
6;3402158;22392444;SWITCH, OVERHEAD LAMP;364 ;INT-GEN2,L3H1;00001;&nbsp;
6;3724345;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXSW,L1H1-BDE;00001;&nbsp;
6;3724344;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-3,L1H1-BDE;00001;&nbsp;
6;3724343;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-2,L1H1-BDE;00001;&nbsp;
6;3724342;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-1,L1H1-BDE;00001;&nbsp;
6;3724341;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXSW,L1H1;00001;&nbsp;
6;3724340;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-3,L1H1;00001;&nbsp;
6;3724339;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-2,L1H1;00001;&nbsp;
6;3724338;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-1,L1H1;00001;&nbsp;
6;3553450;22392444;SWITCH, OVERHEAD LAMP;364 ;INT-GEN2,L4EH4;00001;&nbsp;
6;3553449;22392444;SWITCH, OVERHEAD LAMP;364 ;INT-GEN2,L4EH2;00001;&nbsp;
6;3402183;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-4;00004;&nbsp;
6;3402162;22392444;SWITCH, OVERHEAD LAMP;364 ;INT-GEN2,L5H4;00001;&nbsp;
6;3402159;22392444;SWITCH, OVERHEAD LAMP;364 ;INT-GEN2,L4H2;00001;&nbsp;
7;3724346;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-1;00001;&nbsp;
7;3402180;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-2;00002;&nbsp;
7;3402181;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-3;00003;&nbsp;
7;3402183;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-4;00004;&nbsp;
7;3724347;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXSW;00001;&nbsp;
8;3402180;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-2;00002;&nbsp;
8;3402181;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-3;00003;&nbsp;
8;3402183;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-4;00004;&nbsp;
8;3402179;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-1;00001;&nbsp;
8;3680359;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXSW;00001;&nbsp;
9;3402201;22392998;SWITCH, HEATED WINDSHIELD;364 ;INT-GEN2,WIND-HE;00001;&nbsp;
9;3402183;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-4;00004;&nbsp;
9;3402181;22392545;SWITCH, AUX;364 ;INT-GEN2,AUXSW-3;00003;&nbsp;
9;3680355;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-2,UWIND-HE;00001;&nbsp;
9;3680356;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXSW,UWIND-HE;00001;&nbsp;
9;3680354;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,AUXSW-1,UWIND-HE;00001;&nbsp;
10;3876885;22997159;PLUG BLANK, SWITCH;364 ;L4H4;00001;&nbsp;
10;3685422;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L5H4;00001;&nbsp;
10;3685421;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L3H1;00001;&nbsp;
10;3685420;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L4H2;00001;&nbsp;
10;3637149;22823139;SWITCH, FLOOR LIGHTING;364 ;L4EH4;00001;&nbsp;
10;3637148;22823139;SWITCH, FLOOR LIGHTING;364 ;L4EH2;00001;&nbsp;
10;3726944;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L1H1;00001;&nbsp;
10;3726945;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,L1H1-BDE;00001;&nbsp;
11;3914196;22392435;SWITCH, DIFF. LOCK, INTER-AXLE;364 ;DL-INTER;00001;&nbsp;
11;3914203;22997159;PLUG BLANK, SWITCH;364 ;DTECH-CO,UDIFFLOC,ABS4S4M;00001;&nbsp;
11;3914197;22392435;SWITCH, DIFF. LOCK, INTER-AXLE;364 ;DL-FRONT;00001;&nbsp;
11;3914199;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,UDIFFLOC;00001;&nbsp;
11;3914195;22392435;SWITCH, DIFF. LOCK, INTER-AXLE;364 ;DL-FULL;00001;&nbsp;
11;3914198;22392435;SWITCH, DIFF. LOCK, INTER-AXLE;364 ;DL-REAR;00001;&nbsp;
11;3709516;23030595;SWITCH, PUSHER OVERIDE CONTROL;364 ;INT-GEN2,ABS8S7M;00001;&nbsp;
11;3896798;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,USUSPLEV;00001;&nbsp;
12;3896813;22544308;SWITCH, ELEC. CONT. SUSP.;364 ;6*2,RAA21P,DTECH-EL,SUSPL-EC;00001;&nbsp;
12;3904175;22997159;PLUG BLANK, SWITCH;364 ;DTECH-CO,DL-INTER;00001;&nbsp;
12;3904176;22997159;PLUG BLANK, SWITCH;364 ;DTECH-CO,UDIFFLOC;00001;&nbsp;
12;3896783;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-CO,DL-FRONT;00001;&nbsp;
12;3896785;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-CO,DL-REAR;00001;&nbsp;
12;3896781;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-CO,DL-FULL;00001;&nbsp;
13;3816956;23390097;SWITCH, ATC MUD/SNOW;364 ;UTCD,TRACONT;00001;&nbsp;
13;3896790;22997002;SWITCH, ATC MUD/SNOW + ATC OFF;364 ;TCD-F,DTECH-EL,TRAC-CH6;00001;&nbsp;
13;3896787;22997002;SWITCH, ATC MUD/SNOW + ATC OFF;364 ;TCD-F,DTECH-CO,TRACONT;00001;&nbsp;
13;3896789;22997002;SWITCH, ATC MUD/SNOW + ATC OFF;364 ;TCD-F,DTECH-CO,TRAC-CH6;00001;&nbsp;
13;3896788;22997002;SWITCH, ATC MUD/SNOW + ATC OFF;364 ;TCD-F,DTECH-EL,TRACONT;00001;&nbsp;
13;3816957;23390097;SWITCH, ATC MUD/SNOW;364 ;UTCD,TRAC-CH6;00001;&nbsp;
14;3896786;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-EL,DL-REAR;00001;&nbsp;
14;3896784;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-EL,DL-FRONT;00001;&nbsp;
14;3896782;22392588;SWITCH, DIFF. LOCK, INTER-WHEEL;364 ;DTECH-EL,DL-FULL;00001;&nbsp;
14;3904178;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,UDIFFLOC;00001;&nbsp;
14;3680332;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,U5WMOUNT;00001;&nbsp;
14;3680331;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,5WM-STAT;00001;&nbsp;
14;3880918;22392426;SWITCH, 5TH WHEEL SLIDE;364 ;5WM-ASPK;00001;&nbsp;
14;3904177;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,DL-INTER;00001;&nbsp;
14;3896897;22392426;SWITCH, 5TH WHEEL SLIDE;364 ;DTECH-EL,5WM-AIRS;00001;&nbsp;
14;3896896;22392426;SWITCH, 5TH WHEEL SLIDE;364 ;DTECH-CO,5WM-AIRS;00001;&nbsp;
15;3722646;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UHILLST;00001;&nbsp;
15;3896794;22392577;SWITCH, HILL START ASSIST;364 ;DTECH-CO,HILLSTA2;00001;&nbsp;
15;3896795;22392577;SWITCH, HILL START ASSIST;364 ;DTECH-EL,HILLSTA2;00001;&nbsp;
16;3693312;22544307;SWITCH, BOGIE CONTROL;364 ;INT-GEN2,6*2,RAA21P,SUSPL-E7;00001;&nbsp;
16;3896779;22544307;SWITCH, BOGIE CONTROL;364 ;6*2,RAA21P,DTECH-CO,SUSPL-EC;00001;&nbsp;
16;3903939;23618207;SWITCH, D/R (DRIVE/REVERSE);364 ;ELS-BP,TRA-EPS;00001;&nbsp;
16;3877377;22997159;PLUG BLANK, SWITCH;364 ;6*2,RAA21T;00001;&nbsp;
16;3896800;22997159;PLUG BLANK, SWITCH;364 ;DTECH-CO,USUSPLEV;00001;&nbsp;
16;3896799;22997159;PLUG BLANK, SWITCH;364 ;DTECH-CO,SUSPL-M;00001;&nbsp;
16;3837885;22544307;SWITCH, BOGIE CONTROL;364 ;RAA31PT,SUSPL-EC;00001;&nbsp;
16;3914418;22997159;PLUG BLANK, SWITCH;364 ;RAA22,DTECH-CO,SUSPL-EC;00001;&nbsp;
17;3673250;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;INT-GEN2,SUSPL-E7;00001;&nbsp;
17;3709529;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;INT-GEN2,8*2,RAA31PT,SUSPL-EC;00001;&nbsp;
17;3726000;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,DL-FULL,SUSPL-M;00001;&nbsp;
17;3726001;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,DL-INTER,SUSPL-M;00001;&nbsp;
17;3726891;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;INT-GEN2,6*2,RAA21T,SUSPL-EC;00001;&nbsp;
17;3888038;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;6*4,SUSPL-EC;00001;&nbsp;
17;3896796;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;6*2,RAA21P,DTECH-CO,SUSPL-EC;00001;&nbsp;
17;3903938;23618205;SWITCH, NEUTRAL;364 ;ELS-BP,TRA-EPS;00001;&nbsp;
18;3402146;22392379;SWITCH, AIR SUSPENSION DUMP;364 ;INT-GEN2,RSS-AIR,USUSPLEV;00001;&nbsp;
18;3896812;22544308;SWITCH, ELEC. CONT. SUSP.;364 ;6*2,RAA21P,DTECH-CO,SUSPL-EC;00001;&nbsp;
18;3896797;22862688;SWITCH, ELEC. CONT. SUSP.;364 ;6*2,RAA21P,DTECH-EL,SUSPL-EC;00001;&nbsp;
18;3888040;22544308;SWITCH, ELEC. CONT. SUSP.;364 ;6*4,SUSPL-EC;00001;&nbsp;
18;3709530;22544308;SWITCH, ELEC. CONT. SUSP.;364 ;INT-GEN2,8*2,RAA31PT,SUSPL-EC;00001;&nbsp;
18;3693311;22544308;SWITCH, ELEC. CONT. SUSP.;364 ;INT-GEN2,6*2,RAA21P,SUSPL-E7;00001;&nbsp;
18;3680330;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RSS-RUB,USUSPLEV;00001;&nbsp;
18;3680329;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RSS-LEAF,USUSPLEV;00001;&nbsp;
18;3447895;22392994;SWITCH, CHASSIS;364 ;INT-GEN2,6*2,RAA21T,SUSPL-EC;00001;&nbsp;
18;3402145;22392379;SWITCH, AIR SUSPENSION DUMP;364 ;INT-GEN2,8*6,SUSPL-M;00001;&nbsp;
19;3914479;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,USUSPLEV;00001;&nbsp;
19;3914469;22997159;PLUG BLANK, SWITCH;364 ;EBR-VEB+,DTECH-CO,TECON-SK;00001;&nbsp;
19;3914043;22997159;PLUG BLANK, SWITCH;364 ;DTECH-EL,USUSPLEV;00001;&nbsp;
19;3402185;22392552;SWITCH, ENGINE BRAKE, CUMMINS;364 ;INT-GEN2,EBR-CBJ3;00001;&nbsp;
19;3896778;22544307;SWITCH, BOGIE CONTROL;364 ;6*2,RAA21P,DTECH-EL,SUSPL-EC;00001;&nbsp;
19;3914478;22997159;PLUG BLANK, SWITCH;364 ;UEBRAKE,DTECH-CO,UTECON;00001;&nbsp;
19;3914477;22997159;PLUG BLANK, SWITCH;364 ;EBR-CEBV,DTECH-CO,UTECON;00001;&nbsp;
19;3914476;22997159;PLUG BLANK, SWITCH;364 ;EBR-CBJ6,DTECH-CO,UTECON;00001;&nbsp;
19;3914475;22997159;PLUG BLANK, SWITCH;364 ;EBR-VEB7,DTECH-CO,UTECON;00001;&nbsp;
19;3914474;22997159;PLUG BLANK, SWITCH;364 ;EBR-VEB+,DTECH-CO,UTECON;00001;&nbsp;
19;3914473;22997159;PLUG BLANK, SWITCH;364 ;UEBRAKE,DTECH-CO,TECON-SK;00001;&nbsp;
19;3914472;22997159;PLUG BLANK, SWITCH;364 ;EBR-CEBV,DTECH-CO,TECON-SK;00001;&nbsp;
19;3914471;22997159;PLUG BLANK, SWITCH;364 ;EBR-CBJ6,DTECH-CO,TECON-SK;00001;&nbsp;
19;3914470;22997159;PLUG BLANK, SWITCH;364 ;EBR-VEB7,DTECH-CO,TECON-SK;00001;&nbsp;
19;3662229;22932653;SWITCH, ECO-ROLL, DISABLE;364 ;INT-GEN2,TECON-BA;00001;DASH SWITCH POSITION �19
20;3402184;22392550;SWITCH, ENGINE BRAKE, CUMMINS;364 ;INT-GEN2,EBR-CBJ3;00001;&nbsp;
20;3724787;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB+,5WR-RHST;00001;&nbsp;
20;3724788;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB7,5WR-RHST;00001;&nbsp;
20;3724790;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CBJ6,5WR-RHST;00001;&nbsp;
20;3724791;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CEBV,5WR-RHST;00001;&nbsp;
20;3724792;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UEBRAKE,5WR-RHST;00001;&nbsp;
20;3724793;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB+,5WR-LHST;00001;&nbsp;
20;3724794;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB7,5WR-LHST;00001;&nbsp;
20;3724796;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CBJ6,5WR-LHST;00001;&nbsp;
20;3724797;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CEBV,5WR-LHST;00001;&nbsp;
20;3724798;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UEBRAKE,5WR-LHST;00001;&nbsp;
20;3724799;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB+,U5WR;00001;&nbsp;
20;3724800;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-VEB7,U5WR;00001;&nbsp;
20;3724802;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CBJ6,U5WR;00001;&nbsp;
20;3724803;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,EBR-CEBV,U5WR;00001;&nbsp;
20;3724804;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UEBRAKE,U5WR;00001;&nbsp;
20;3847852;23536495;SWITCH, 5TH WHEEL UNLOCK;364 ;5WR-LHA;00001;&nbsp;
21;3695496;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UAUXL,ADASWP10;00001;&nbsp;
21;3527247;22392974;SWITCH, PLOW LIGHT;364 ;INT-GEN2,AUXL-SPK;00001;SNOW PLOW LT SW
22;3695497;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,UWARNLIG,ADASWP10;00001;&nbsp;
22;3451935;22558336;SWITCH, BEACON LIGHT;364 ;INT-GEN2,WARNLIG2;00001;BEACON LAMP - VHD
23;3447709;22542599;SWITCH, AXLE LIFTING, TAG AXLE;364 ;INT-GEN2,RAA32T;00001;&nbsp;
23;3447710;22542600;SWITCH, PUSHER AXLE LIFT;364 ;INT-GEN2,RAA32P;00001;&nbsp;
23;3881532;22997159;PLUG BLANK, SWITCH;364 ;RAA21P,ADASWP10;00001;&nbsp;
23;3881531;22997159;PLUG BLANK, SWITCH;364 ;RAA21P,ADASWP6;00001;&nbsp;
23;3881530;22997159;PLUG BLANK, SWITCH;364 ;RAA21P,ADASWP2;00001;&nbsp;
23;3695528;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA22,ADASWP10;00001;&nbsp;
23;3695527;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA21T,ADASWP10;00001;&nbsp;
23;3695517;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA33,ADASWP2;00001;&nbsp;
23;3695518;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA11,ADASWP2;00001;&nbsp;
23;3695519;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA21T,ADASWP2;00001;&nbsp;
23;3695520;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA22,ADASWP2;00001;&nbsp;
23;3695521;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA33,ADASWP6;00001;&nbsp;
23;3695522;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA11,ADASWP6;00001;&nbsp;
23;3695523;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA21T,ADASWP6;00001;&nbsp;
23;3695524;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA22,ADASWP6;00001;&nbsp;
23;3695525;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA33,ADASWP10;00001;&nbsp;
23;3695526;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,RAA11,ADASWP10;00001;&nbsp;
24;3914938;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP6,PTOTRA-S;00001;&nbsp;
24;3726050;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP10,UPTOTRA;00001;&nbsp;
24;3726049;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,ADASWP6,UPTOTRA;00001;&nbsp;
24;3914942;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP6,PTOTRA-D;00001;&nbsp;
24;3914939;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP10,PTOTRA-S;00001;&nbsp;
24;3914943;24167359;SWITCH, POWER TAKE-OFF, GEARBOX 1;364 ;ADASWP10,PTOTRA-D;00001;&nbsp;
25;3914983;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D1,ADASWP10;00001;&nbsp;
25;3914986;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D2,ADASWP6;00001;&nbsp;
25;3914987;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D2,ADASWP10;00001;&nbsp;
25;3915070;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D3,ADASWP6;00001;&nbsp;
25;3915071;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D4,ADASWP6;00001;&nbsp;
25;3915072;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D3,ADASWP10;00001;&nbsp;
25;3915073;24167360;SWITCH, POWER TAKE-OFF, GEARBOX 2;364 ;PTRD-D4,ADASWP10;00001;&nbsp;
25;3746923;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,PTR-FL,ADASWP6;00001;&nbsp;
25;3746924;22997159;PLUG BLANK, SWITCH;364 ;INT-GEN2,PTR-DM,ADASWP6;00001;&nbsp;
